2020-11-20 16:53:57,143 - DEBUG: [DeviceList]: dict_keys([])
2020-11-20 16:54:59,625 - INFO: [UDP]接收到升级请求来自('192.168.1.104', 6009)
2020-11-20 16:54:59,632 - INFO: [UDP]发送起始包数据到('192.168.1.104', 6009)
2020-11-20 16:54:59,654 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:00,886 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:00,887 - INFO: [UDP]发送第0包数据到('192.168.1.104', 6009)
2020-11-20 16:55:00,898 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:01,366 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:01,367 - INFO: [UDP]发送第1包数据到('192.168.1.104', 6009)
2020-11-20 16:55:01,368 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:01,849 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:01,850 - INFO: [UDP]发送第2包数据到('192.168.1.104', 6009)
2020-11-20 16:55:01,850 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:02,331 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:02,332 - INFO: [UDP]发送第3包数据到('192.168.1.104', 6009)
2020-11-20 16:55:02,332 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:02,815 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:02,816 - INFO: [UDP]发送第4包数据到('192.168.1.104', 6009)
2020-11-20 16:55:02,817 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:03,299 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:03,300 - INFO: [UDP]发送第5包数据到('192.168.1.104', 6009)
2020-11-20 16:55:03,303 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:03,785 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:03,788 - INFO: [UDP]发送第6包数据到('192.168.1.104', 6009)
2020-11-20 16:55:03,791 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:04,275 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:04,277 - INFO: [UDP]发送第7包数据到('192.168.1.104', 6009)
2020-11-20 16:55:04,278 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:04,762 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:04,764 - INFO: [UDP]发送第8包数据到('192.168.1.104', 6009)
2020-11-20 16:55:04,767 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:05,249 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:05,252 - INFO: [UDP]发送第9包数据到('192.168.1.104', 6009)
2020-11-20 16:55:05,254 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:05,737 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:05,739 - INFO: [UDP]发送第10包数据到('192.168.1.104', 6009)
2020-11-20 16:55:05,741 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:06,226 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:06,228 - INFO: [UDP]发送第11包数据到('192.168.1.104', 6009)
